ID,pI,Hydrophobicity,Sequence_Length,Molecular_Weight,TM-score,STABILITY
A0A3B0XHN3_0_1,5.149635505676269,-0.1723970944309929,413,45147.74070000008,0.93099,87.27707021791768
A0A1G0AW29_1_1,5.391655921936036,-0.3002127659574475,470,51779.117600000056,0.95382,89.32825531914894
A0A1G0AW29_2_1,5.649079704284667,-0.4065957446808511,470,51816.847800000105,0.95628,91.3068510638298
A0A1G0AW29_3_1,5.632084846496581,-0.4046808510638296,470,52042.02920000006,0.95711,91.4197659574468
Q59462_4_1,5.315889549255371,-0.269546436285098,463,51020.13550000009,0.93968,88.66516198704105
Q59462_5_1,5.274681282043456,-0.385745140388769,463,51137.98850000007,0.97208,91.26235421166308
U3U4M7_6_1,5.565696907043456,-0.271428571428572,399,43762.21920000004,0.94245,90.29862155388471
A0A1G0AW29_7_1,6.046100044250489,-0.4023404255319149,470,52450.97490000005,0.93538,91.23512765957447
A0A1G0AW29_8_1,5.451848411560058,-0.2691489361702133,470,51828.136800000095,0.94868,91.07640425531916
A0A1G0AW29_9_1,5.52323818206787,-0.2719148936170218,470,51469.77640000008,0.95714,91.11951063829788
