ID,pI,Hydrophobicity,Sequence_Length,Molecular_Weight,TM_Score
A0A3B0XHN3_0_1,5.149635505676269,-0.1723970944309929,413,45147.74070000008,0.3163178861141205
A0A1G0AW29_1_1,5.391655921936036,-0.3002127659574475,470,51779.117600000056,0.294642835855484
A0A1G0AW29_2_1,5.649079704284667,-0.4065957446808511,470,51816.847800000105,0.4144556224346161
A0A1G0AW29_3_1,5.632084846496581,-0.4046808510638296,470,52042.02920000006,0.2994109988212585
Q59462_4_1,5.315889549255371,-0.269546436285098,463,51020.13550000009,0.2607711553573608
Q59462_5_1,5.274681282043456,-0.385745140388769,463,51137.98850000007,0.2544503509998321
U3U4M7_6_1,5.565696907043456,-0.271428571428572,399,43762.21920000004,0.2876928746700287
A0A1G0AW29_7_1,6.046100044250489,-0.4023404255319149,470,52450.97490000005,0.1683780252933502
A0A1G0AW29_8_1,5.451848411560058,-0.2691489361702133,470,51828.136800000095,0.1804041117429733
A0A1G0AW29_9_1,5.52323818206787,-0.2719148936170218,470,51469.77640000008,0.2041635066270828
