Original Filename,New Filename
P50922.1 RecName: Full=Ribulose bisphosphate carboxylase; Short=RuBisCO [Rhodobacter capsulatus].pdb,P50922.1.pdb
Q31IK3.1 RecName: Full=Ribulose bisphosphate carboxylase; Short=RuBisCO; AltName: Full=Form II RuBisCO [Hydrogenovibrio crunogenus XCL-2].pdb,Q31IK3.1.pdb
Q21YM9.1 RecName: Full=Ribulose bisphosphate carboxylase; Short=RuBisCO [Rhodoferax ferrireducens T118].pdb,Q21YM9.1.pdb
D5AUD5.1 RecName: Full=Ribulose bisphosphate carboxylase; Short=RuBisCO [Rhodobacter capsulatus SB 1003].pdb,D5AUD5.1.pdb
OGS68397.1 RecName: Full=Ribulose bisphosphate carboxylase; Short=RuBisCO [Gallionella sp.].pdb,OGS68397.1.pdb
A1VNQ9.1 RecName: Full=Ribulose bisphosphate carboxylase; Short=RuBisCO [Polaromonas naphthalenivorans CJ2].pdb,A1VNQ9.1.pdb
O84917.1 RecName: Full=Ribulose bisphosphate carboxylase; Short=RuBisCO [Thiomonas intermedia K12].pdb,O84917.1.pdb
Q9ZHZ4.1 RecName: Full=Ribulose bisphosphate carboxylase; Short=RuBisCO; AltName: Full=Form II RuBisCO [Halothiobacillus neapolitanus c2].pdb,Q9ZHZ4.1.pdb
Q60028.3 RecName: Full=Ribulose bisphosphate carboxylase; Short=RuBisCO [Thiobacillus denitrificans ATCC 25259].pdb,Q60028.3.pdb
Q59462.3 RecName: Full=Ribulose bisphosphate carboxylase; Short=RuBisCO [Hydrogenovibrio marinus].pdb,Q59462.3.pdb
