Sequence_ID,Sequence_Length,Molecular_Weight,Type
A0A3B0XHN3_0_1,413,45147.74070000008,Generated
A0A1G0AW29_1_1,470,51779.117600000056,Generated
A0A1G0AW29_2_1,470,51816.847800000105,Generated
A0A1G0AW29_3_1,470,52042.02920000006,Generated
Q59462_4_1,463,51020.13550000009,Generated
Q59462_5_1,463,51137.988500000065,Generated
U3U4M7_6_1,399,43762.219200000036,Generated
A0A1G0AW29_7_1,470,52450.97490000005,Generated
A0A1G0AW29_8_1,470,51828.136800000095,Generated
A0A1G0AW29_9_1,470,51469.77640000008,Generated
A0A1G0AW29_10_1,470,51880.09720000006,Generated
A0A1G0AW29_11_1,470,51867.930700000084,Generated
A0A1G0AW29_12_1,470,51346.407200000096,Generated
A0A1G0AW29_13_1,470,51487.25660000007,Generated
A0A1G0AW29_14_1,470,50949.19320000005,Generated
Q8RTI1_15_1,463,50380.2072000001,Generated
A0A7C9QRF1_16_1,473,51714.78430000009,Generated
F2ZCD4_17_1,397,43020.29730000004,Generated
A0A1G0AW29_18_1,470,51440.30320000006,Generated
A0A3B0XHN3_19_1,413,44724.06490000004,Generated
A0A3B0XHN3_20_1,413,44655.75170000005,Generated
A0A3B0XHN3_21_1,413,44470.31670000004,Generated
A0A7V8AB38_22_1,461,50735.962400000135,Generated
A0A7V8AB38_23_1,461,50724.94290000012,Generated
A0A7C5IYL6_24_1,414,45020.760200000055,Generated
A0A1W6AQ46_25_1,397,43030.57780000002,Generated
A0A3B0XHN3_26_1,413,44810.1032000001,Generated
A0A7V8AB38_27_1,461,50586.6154000001,Generated
A0A1G0AW29_28_1,470,51489.72510000008,Generated
A0A3N1XWA5_29_1,466,51488.76630000009,Generated
A0A1G0AW29_30_1,470,51444.805000000066,Generated
A0A2K8KYS9_31_1,471,51646.65190000007,Generated
A0A2K8KYS9_32_1,471,51676.676200000096,Generated
A0A3N1XWA5_33_1,466,51036.12260000009,Generated
A0A1G0AW29_34_1,470,52017.23350000008,Generated
A0A075IPP2_35_1,399,43445.15590000001,Generated
A0A3N1XWA5_36_1,466,51429.50520000006,Generated
A0A1G0AW29_37_1,470,50898.450100000024,Generated
A0A1G0AW29_38_1,470,52026.40010000006,Generated
A0A1G0AW29_39_1,470,51663.93000000005,Generated
A0A1G0AW29_40_1,470,51788.03660000005,Generated
A0A1G0AW29_41_1,470,50970.98210000008,Generated
A0A3N1XWA5_42_1,466,51306.376600000076,Generated
A0A3N1XWA5_43_1,466,51279.5129000001,Generated
A0A075IPR4_44_1,397,43285.15380000005,Generated
A0A1G0AW29_45_1,470,51801.12310000007,Generated
A0A1G0AW29_46_1,470,51881.982300000076,Generated
I4DDJ6_47_2,399,43666.25720000004,Generated
A0A3M2BFW8_48_2,468,52149.23510000011,Generated
A0A933USX4_49_2,466,50556.42360000011,Generated
Q31IK3_50_2,463,50873.00130000009,Generated
A0A948EPL6_51_2,413,45371.189300000064,Generated
A0A948EPL6_52_2,413,44929.637500000084,Generated
A0A948EPL6_53_2,413,45129.42530000007,Generated
A0A3E1R697_54_2,463,50851.80860000008,Generated
A0A0T5Z1X2_55_2,465,50719.64570000008,Generated
A0A661FXI3_56_2,464,50683.68900000015,Generated
A0A962DV06_57_2,463,50627.525700000086,Generated
A0A2A4WCC7_58_2,464,50733.442700000094,Generated
UPI000570971D_59_2,463,50206.168600000055,Generated
A0A3B0XHN3_60_2,413,44823.04720000008,Generated
A0A3B0XHN3_61_2,413,44818.41940000004,Generated
A0A3B0XHN3_62_2,413,45145.53410000007,Generated
A0A3M2BFW8_63_2,468,51661.69630000009,Generated
A0A7C6EZB3_64_2,464,50868.85280000012,Generated
A0A948EPL6_65_2,413,44969.24520000006,Generated
A0A948EPL6_66_2,413,45090.61290000004,Generated
A0A7X7ZGQ9_67_2,463,50464.09110000009,Generated
UPI0005EB8F6C_68_2,466,51271.50130000009,Generated
Q21YM9_69_2,463,50526.634600000136,Generated
A0A7V7WQB9_70_2,463,50728.253000000106,Generated
A0A948EPL6_71_2,413,44555.68720000002,Generated
A0A2K8L348_72_2,470,52203.19990000008,Generated
V6EXN2_73_2,462,50255.79150000008,Generated
V6EXN2_74_2,462,50585.79110000007,Generated
I4DDN7_75_2,398,43466.02880000006,Generated
A0A948EPL6_76_2,413,44727.33150000006,Generated
I4DDN7_77_2,398,43320.59850000006,Generated
I4DDN7_78_2,398,43963.30360000004,Generated
I4DDN7_79_2,398,43800.048400000065,Generated
A0A948EPL6_80_2,413,45090.77510000008,Generated
I4DDN7_81_2,398,43598.05840000007,Generated
A0A948EPL6_82_2,413,44837.56700000005,Generated
I4DDN7_83_2,398,43044.60520000005,Generated
A0A1G0AW29_84_2,470,52001.27830000007,Generated
A0A948EPL6_85_2,413,44842.670700000024,Generated
A0A3M1HUI7_86_2,469,51669.11060000012,Generated
A0A1G0AW29_87_2,470,52026.16140000005,Generated
A0A1G0AW29_88_2,470,51010.95670000005,Generated
A0A1G0AW29_89_2,470,51564.58970000005,Generated
A0A1G0AW29_90_2,470,51847.967900000054,Generated
A0A075IPP2_91_2,399,43428.65080000004,Generated
A0A075IPP2_92_2,399,43495.14550000003,Generated
A0A075IPP2_93_2,399,43416.05620000003,Generated
A0A075IPP2_94_2,399,43668.39930000002,Generated
A0A075IPP2_95_2,399,43564.04220000001,Generated
A0A075IPP2_96_2,399,43544.17110000002,Generated
D9SHP6_97_2,470,51787.099700000064,Generated
D9SHP6_98_2,470,51422.40510000006,Generated
D9SHP6_99_2,470,51572.75580000007,Generated
A0A0G4EI01_100_2,587,64122.20280000018,Generated
A0A1G0AW29_101_2,470,51907.22500000007,Generated
A0A1G0AW29_102_2,470,52068.23150000006,Generated
A0A1G0AW29_103_2,470,51822.808600000055,Generated
D9SHP6_104_2,470,51908.91130000003,Generated
D9SHP6_105_2,470,51980.06230000006,Generated
A0A3B0XHN3_106_2,413,44694.259900000085,Generated
D9SHP6_107_2,470,51776.97740000005,Generated
A0A1G0AW29_108_2,470,51900.03560000006,Generated
A0A948EPL6_109_2,413,45053.68860000003,Generated
A0A3M2BFW8_110_2,468,51604.6941000001,Generated
A0A3M2BFW8_111_2,468,51598.37510000011,Generated
A0A075IVF1_112_2,397,43460.994400000025,Generated
UPI0021E97E19_113_2,460,50684.83840000008,Generated
A0A1G0AW29_114_2,470,51653.86830000009,Generated
A0A1G0AW29_115_2,470,51590.44150000007,Generated
