Sequence_ID,Sequence_Length,Molecular_Weight,Type
A0A3B0XHN3_0_1,413,45147.74070000008,Generated
A0A1G0AW29_1_1,470,51779.117600000056,Generated
A0A1G0AW29_2_1,470,51816.847800000105,Generated
A0A1G0AW29_3_1,470,52042.02920000006,Generated
Q59462_4_1,463,51020.13550000009,Generated
Q59462_5_1,463,51137.988500000065,Generated
U3U4M7_6_1,399,43762.219200000036,Generated
A0A1G0AW29_7_1,470,52450.97490000005,Generated
A0A1G0AW29_8_1,470,51828.136800000095,Generated
A0A1G0AW29_9_1,470,51469.77640000008,Generated
OGS68397.1,470,51591.09110000005,Natural
Q59462.3,463,50727.94660000005,Natural
Q60028.3,459,50689.039800000035,Natural
Q31IK3.1,459,50280.10780000005,Natural
O84917.1,461,50816.99500000003,Natural
Q9ZHZ4.1,459,50572.814000000035,Natural
A1VNQ9.1,459,50570.75340000006,Natural
Q21YM9.1,459,50390.63370000006,Natural
P50922.1,458,50091.21340000011,Natural
D5AUD5.1,458,50204.37440000012,Natural
