ID,pI_results,hydrophobicity_results,tm_score_results,Sequence_Length,Molecular_Weight
A0A3B0XHN3_0_1,5.149635505676269,-0.1723970944309929,,413.0,45147.74070000008
A0A1G0AW29_1_1,5.391655921936036,-0.3002127659574475,,470.0,51779.117600000056
A0A1G0AW29_2_1,5.649079704284667,-0.4065957446808511,,470.0,51816.847800000105
A0A1G0AW29_3_1,5.632084846496581,-0.4046808510638296,,470.0,52042.02920000006
Q59462_4_1,5.315889549255371,-0.269546436285098,,463.0,51020.13550000009
Q59462_5_1,5.274681282043456,-0.385745140388769,,463.0,51137.98850000007
U3U4M7_6_1,5.565696907043456,-0.271428571428572,,399.0,43762.21920000004
A0A1G0AW29_7_1,6.046100044250489,-0.4023404255319149,,470.0,52450.97490000005
A0A1G0AW29_8_1,5.451848411560058,-0.2691489361702133,,470.0,51828.136800000095
A0A1G0AW29_9_1,5.52323818206787,-0.2719148936170218,,470.0,51469.77640000008
OGS68397.1,6.062867546081542,-0.2797872340425537,,470.0,51591.09110000005
Q59462.3,5.407741355895996,-0.2652267818574518,,463.0,50727.94660000005
Q60028.3,5.979484748840332,-0.315468409586057,,459.0,50689.03980000004
Q31IK3.1,5.332827568054199,-0.3374727668845319,,459.0,50280.10780000005
O84917.1,5.779582023620605,-0.3173535791757054,,461.0,50816.99500000003
Q9ZHZ4.1,5.720355796813965,-0.3230936819172116,,459.0,50572.81400000004
A1VNQ9.1,5.974596595764161,-0.3281045751633988,,459.0,50570.75340000006
Q21YM9.1,5.863817405700683,-0.2455337690631812,,459.0,50390.63370000006
P50922.1,5.644021034240722,-0.2224890829694328,,458.0,50091.21340000011
D5AUD5.1,5.736668586730957,-0.2366812227074241,,458.0,50204.37440000012
model_6.pdb,,,0.4721  (d0,,
model_10.pdb,,,0.4469  (d0,,
model_1.pdb,,,0.3939  (d0,,
model_3.pdb,,,0.4038  (d0,,
model_9.pdb,,,0.4252  (d0,,
model_2.pdb,,,0.4094  (d0,,
model_7.pdb,,,0.3080  (d0,,
model_5.pdb,,,0.4156  (d0,,
model_4.pdb,,,0.4815  (d0,,
model_8.pdb,,,0.4422  (d0,,
