ID,TM_SCORE
I4DDN7_78_2,0.894
A0A1G0AW29_489_4,0.83576
A0A832ANL8_298_3,0.87839
A0A7C3D5F8_595_4,0.87343
A0A832ANL8_505_4,0.85773
A0A2K8L348_501_4,0.8336
A0A7Y0GYQ9_302_3,0.8478
A0A1G0AW29_502_4,0.83854
A0A2K8L348_397_4,0.83864
V6EXN2_74_2,0.85868
A0A075IPP2_135_2,0.90732
A0A3M1FDV3_429_4,0.80829
A0A948EPL6_82_2,0.90504
A0A948EPL6_367_3,0.8841
A0A3B0XHN3_62_2,0.90313
A0A2K8L348_472_4,0.84407
A0A075IPP2_388_3,0.90477
A0A832ANL8_198_3,0.89437
A0A7S2N6G6_582_4,0.83619
A0A1G0AW29_630_4,0.7997
A0A075IPP2_140_2,0.89985
A0A075IPP2_227_3,0.90747
A0A075IPP2_385_3,0.87724
A0A075IPN0_123_2,0.89658
A0A1W6AQ06_587_4,0.90951
A0A832ANL8_314_3,0.83191
A0A948EPL6_268_3,0.85474
A0A948EPL6_372_3,0.88285
A0A2K8L348_144_2,0.84646
A0A1G0AW29_369_3,0.85253
A0A075IPP2_497_4,0.89937
I4DDN7_79_2,0.86546
A0A661FXI3_56_2,0.83649
A0A832ANL8_551_4,0.88905
A0A075IPP2_157_2,0.8989
A0A948EPL6_119_2,0.8747
A0A2K8L348_155_2,0.8465
D9SHP6_99_2,0.84268
A0A832J6A2_360_3,0.85098
A0A3E1R697_54_2,0.86159
D9SHP6_107_2,0.84709
A0A075IPP2_35_1,0.91497
A0A1G0AW29_1_1,0.84217
A0A948EPL6_270_3,0.89364
A0A3M2BFW8_181_3,0.85035
A0A5Q0BNV2_599_4,0.85562
A0A075IPP2_323_3,0.88539
A0A1G0AW29_626_4,0.79846
A0A832ANL8_547_4,0.87104
D9SHP6_216_3,0.83425
A0A1G0AW29_646_4,0.83334
A0A948EPL6_76_2,0.9096
A0A2M7EME9_202_3,0.84883
A0A1G0AW29_143_2,0.84109
A0A075IPN0_122_2,0.90966
A0A832ANL8_543_4,0.87633
A0A2K8L348_239_3,0.84939
A0A1G0AW29_614_4,0.83261
D9SHP6_609_4,0.84613
F5BZE3_579_4,0.90713
A0A1G0AW29_333_3,0.84151
A0A1G0AW29_488_4,0.84048
A0A2K8L348_466_4,0.8348
A0A1G0AW29_606_4,0.78998
A0A3B0XHN3_106_2,0.90101
A0A813L3F7_396_4,0.648
A0A075IPP2_133_2,0.89848
A0A948EPL6_65_2,0.87954
A0A355WLL9_511_4,0.88203
A0A1G0AW29_469_4,0.83698
F5BZE3_596_4,0.89854
Q6Y9I4_573_4,0.60002
D9SHP6_617_4,0.84286
A0A075IPP2_278_3,0.89833
D9SHP6_104_2,0.84207
A0A1G0AW29_246_3,0.84909
A0A075IPP2_225_3,0.89511
A0A832ANL8_674_4,0.88941
A0A3M1FDV3_445_4,0.81197
D9SHP6_608_4,0.83768
A0A832J6A2_272_3,0.82783
A0A3M2BFW8_684_4,0.85476
A0A2K8L348_240_3,0.84483
A0A3S9PWU7_203_3,0.85097
A0A7C5IYL6_24_1,0.89384
A0A1G0AW29_3_1,0.84556
A0A1G0AW29_648_4,0.84647
A0A1G0AW29_640_4,0.84653
A0A1G0AW29_222_3,0.85439
A0A1G0AW29_11_1,0.84687
A0A075IPP2_473_4,0.90239
K1YYQ0_436_4,0.89454
A0A1G0AW29_87_2,0.84156
D9SHP6_649_4,0.82661
A0A948EPL6_310_3,0.89625
A0A948EPL6_309_3,0.86347
D9SHP6_98_2,0.83744
A0A075IPP2_283_3,0.90383
A0A2K8L348_182_3,0.84164
A0A1G0AW29_253_3,0.82952
A0A1G0AW29_162_2,0.84543
A0A3M2BFW8_702_4,0.84905
A0A1G0AW29_14_1,0.83311
A0A1G0AW29_151_2,0.84883
A0A075IPP2_153_2,0.89399
A0A832ANL8_545_4,0.87473
A0A075IPP2_321_3,0.90607
A0A075IRW9_348_3,0.90408
A0A0G0QYQ4_449_4,0.92124
A0A075ISY8_290_3,0.8902
A0A1G0AW29_475_4,0.84238
A0A948EPL6_109_2,0.88866
A0A1N7LI14_305_3,0.85917
A0A1G0AW29_9_1,0.84543
A0A075ISY8_373_3,0.89105
A0A1G0AW29_214_3,0.84691
A0A832ANL8_690_4,0.85705
A0A382KYT3_515_4,0.87306
A0A1G0AW29_503_4,0.83796
A0A832ANL8_522_4,0.87934
A0A3M2BFW8_341_3,0.85421
A0A1G0AW29_354_3,0.78399
D9SHP6_97_2,0.83523
A0A075IPP2_180_3,0.8946
A0A075IPP2_451_4,0.90064
K1YYQ0_435_4,0.90602
A0A1G0AW29_204_3,0.83339
A0A1G0AW29_39_1,0.83018
A0A1G0AW29_450_4,0.83577
A0A832ANL8_542_4,0.87443
A0A1W6AQ06_586_4,0.91474
A0A1G0AW29_611_4,0.83978
A0A3M1FDV3_446_4,0.80803
A0A7Y0GYQ9_537_4,0.85725
A0A1G0AW29_46_1,0.83284
A0A075IPP2_387_3,0.90321
A0A1G0AW29_319_3,0.83949
A0A1G0AW29_645_4,0.84087
A0A948EPL6_51_2,0.89542
A0A1G0AW29_101_2,0.84633
A0A1W6AQ06_575_4,0.9051
A0A1G0AW29_490_4,0.84491
A0A7C9QRF1_16_1,0.83854
A0A948EPL6_80_2,0.8805
A0A2K8L348_635_4,0.84693
A0A1G0AW29_168_2,0.8425
A0A7V7WQB9_70_2,0.85658
A0A1G0AW29_126_2,0.84297
A0A075IPP2_237_3,0.89564
Q6Y9I4_562_4,0.58855
A0A1G0AW29_688_4,0.84436
A0A832ANL8_701_4,0.89999
A0A0G0QYQ4_419_4,0.91141
A0A832ANL8_659_4,0.89654
A0A075IPP2_263_3,0.90293
A0A832ANL8_668_4,0.87882
UPI0003F8EEA2_313_3,0.85532
A0A832ANL8_328_3,0.86731
A0A075IPP2_95_2,0.88356
I4DDM4_325_3,0.89223
A0A1G0AW29_460_4,0.8247
A0A832ANL8_675_4,0.88122
A0A3M1FDV3_407_4,0.80228
A0A948EPL6_66_2,0.8585
A0A1G0AW29_221_3,0.84678
A0A1G0AW29_381_3,0.84187
A0A075IPP2_339_3,0.9077
A0A3M1FDV3_440_4,0.81971
