ID,TM-score
A0A3B0XHN3_0_1,0.4634  (d0
A0A1G0AW29_1_1,0.4973  (d0
A0A1G0AW29_2_1,0.4697  (d0
A0A1G0AW29_3_1,0.4504  (d0
Q59462_4_1,0.5707  (d0
Q59462_5_1,0.4820  (d0
U3U4M7_6_1,0.5620  (d0
A0A1G0AW29_7_1,0.3484  (d0
A0A1G0AW29_8_1,0.5220  (d0
A0A1G0AW29_9_1,0.5119  (d0
OGS68397.1,0
Q59462.3,0
Q60028.3,0
Q31IK3.1,0
O84917.1,0
Q9ZHZ4.1,0
A1VNQ9.1,0
Q21YM9.1,0
P50922.1,0
D5AUD5.1,0
