Sequence_ID,pI,Type
A0A3B0XHN3_0_1,5.149635505676269,Generated
A0A1G0AW29_1_1,5.391655921936036,Generated
A0A1G0AW29_2_1,5.649079704284667,Generated
A0A1G0AW29_3_1,5.632084846496581,Generated
Q59462_4_1,5.315889549255371,Generated
Q59462_5_1,5.274681282043456,Generated
U3U4M7_6_1,5.565696907043456,Generated
A0A1G0AW29_7_1,6.046100044250489,Generated
A0A1G0AW29_8_1,5.451848411560058,Generated
A0A1G0AW29_9_1,5.52323818206787,Generated
A0A1G0AW29_10_1,5.810218238830567,Generated
A0A1G0AW29_11_1,6.247423744201661,Generated
A0A1G0AW29_12_1,5.600368690490721,Generated
A0A1G0AW29_13_1,5.123660087585448,Generated
A0A1G0AW29_14_1,5.228641700744627,Generated
Q8RTI1_15_1,5.186353492736815,Generated
A0A7C9QRF1_16_1,5.279796791076659,Generated
F2ZCD4_17_1,5.616965675354003,Generated
A0A1G0AW29_18_1,5.4674791336059565,Generated
A0A3B0XHN3_19_1,5.614635276794433,Generated
A0A3B0XHN3_20_1,4.92199535369873,Generated
A0A3B0XHN3_21_1,5.51698589324951,Generated
A0A7V8AB38_22_1,5.59860668182373,Generated
A0A7V8AB38_23_1,5.845174217224121,Generated
A0A7C5IYL6_24_1,5.824030113220215,Generated
A0A1W6AQ46_25_1,6.164495658874511,Generated
A0A3B0XHN3_26_1,4.883515357971191,Generated
A0A7V8AB38_27_1,5.177031898498535,Generated
A0A1G0AW29_28_1,5.534776496887206,Generated
A0A3N1XWA5_29_1,5.710067939758301,Generated
A0A1G0AW29_30_1,5.388302421569825,Generated
A0A2K8KYS9_31_1,5.593775367736816,Generated
A0A2K8KYS9_32_1,5.83403377532959,Generated
A0A3N1XWA5_33_1,5.437411308288574,Generated
A0A1G0AW29_34_1,5.568027305603027,Generated
A0A075IPP2_35_1,8.913930702209473,Generated
A0A3N1XWA5_36_1,6.068494606018065,Generated
A0A1G0AW29_37_1,5.197209739685058,Generated
A0A1G0AW29_38_1,5.391599082946779,Generated
A0A1G0AW29_39_1,5.725300788879395,Generated
A0A1G0AW29_40_1,6.443006706237792,Generated
A0A1G0AW29_41_1,5.525966453552246,Generated
A0A3N1XWA5_42_1,5.1180330276489245,Generated
A0A3N1XWA5_43_1,5.374547386169434,Generated
A0A075IPR4_44_1,4.680543327331542,Generated
A0A1G0AW29_45_1,5.335783195495605,Generated
A0A1G0AW29_46_1,5.389552879333496,Generated
I4DDJ6_47_2,6.3810522079467775,Generated
A0A3M2BFW8_48_2,5.07449436187744,Generated
A0A933USX4_49_2,4.865781593322754,Generated
Q31IK3_50_2,5.649648094177246,Generated
A0A948EPL6_51_2,5.67943172454834,Generated
A0A948EPL6_52_2,5.622933769226075,Generated
A0A948EPL6_53_2,5.250638389587402,Generated
A0A3E1R697_54_2,6.157561302185058,Generated
A0A0T5Z1X2_55_2,5.08722629547119,Generated
A0A661FXI3_56_2,5.527557945251464,Generated
A0A962DV06_57_2,5.205678749084471,Generated
A0A2A4WCC7_58_2,5.855632591247558,Generated
UPI000570971D_59_2,4.858506202697753,Generated
A0A3B0XHN3_60_2,5.203518867492675,Generated
A0A3B0XHN3_61_2,5.858929252624511,Generated
A0A3B0XHN3_62_2,5.298042106628418,Generated
A0A3M2BFW8_63_2,5.115759468078613,Generated
A0A7C6EZB3_64_2,5.5649011611938475,Generated
A0A948EPL6_65_2,5.025271797180175,Generated
A0A948EPL6_66_2,5.720867347717285,Generated
A0A7X7ZGQ9_67_2,5.44349308013916,Generated
UPI0005EB8F6C_68_2,5.884108924865722,Generated
Q21YM9_69_2,5.974369239807129,Generated
A0A7V7WQB9_70_2,6.124481010437011,Generated
A0A948EPL6_71_2,5.897068214416504,Generated
A0A2K8L348_72_2,4.978209114074706,Generated
V6EXN2_73_2,6.384121513366699,Generated
V6EXN2_74_2,5.70932903289795,Generated
I4DDN7_75_2,5.862964820861816,Generated
A0A948EPL6_76_2,4.778135871887207,Generated
I4DDN7_77_2,5.683467292785645,Generated
I4DDN7_78_2,5.496864891052245,Generated
I4DDN7_79_2,5.594571113586425,Generated
A0A948EPL6_80_2,5.90832233428955,Generated
I4DDN7_81_2,5.756107521057129,Generated
A0A948EPL6_82_2,5.723709297180176,Generated
I4DDN7_83_2,5.756960105895996,Generated
A0A1G0AW29_84_2,5.600198173522949,Generated
A0A948EPL6_85_2,5.737180137634279,Generated
A0A3M1HUI7_86_2,6.254528617858887,Generated
A0A1G0AW29_87_2,5.254958152770995,Generated
A0A1G0AW29_88_2,5.211931037902831,Generated
A0A1G0AW29_89_2,5.601505470275878,Generated
A0A1G0AW29_90_2,5.634244728088378,Generated
A0A075IPP2_91_2,4.985370826721191,Generated
A0A075IPP2_92_2,5.480438423156738,Generated
A0A075IPP2_93_2,6.366274070739746,Generated
A0A075IPP2_94_2,7.75524845123291,Generated
A0A075IPP2_95_2,5.210453224182127,Generated
A0A075IPP2_96_2,6.858442878723144,Generated
D9SHP6_97_2,6.041837120056152,Generated
D9SHP6_98_2,5.203973579406737,Generated
D9SHP6_99_2,5.892407417297362,Generated
A0A0G4EI01_100_2,6.30227336883545,Generated
A0A1G0AW29_101_2,5.944585609436035,Generated
A0A1G0AW29_102_2,5.671303749084472,Generated
A0A1G0AW29_103_2,5.31566219329834,Generated
D9SHP6_104_2,5.13451633453369,Generated
D9SHP6_105_2,5.43388729095459,Generated
A0A3B0XHN3_106_2,5.381424903869629,Generated
D9SHP6_107_2,5.198289680480956,Generated
A0A1G0AW29_108_2,5.53494701385498,Generated
A0A948EPL6_109_2,7.223803901672364,Generated
A0A3M2BFW8_110_2,5.554897499084471,Generated
A0A3M2BFW8_111_2,4.989576911926269,Generated
A0A075IVF1_112_2,6.1313585281372065,Generated
UPI0021E97E19_113_2,5.872115898132324,Generated
A0A1G0AW29_114_2,5.515905952453611,Generated
A0A1G0AW29_115_2,5.524886512756347,Generated
A0A1G0AW29_116_2,5.345786857604979,Generated
A0A1G0AW29_117_2,5.45440616607666,Generated
A0A1G0AW29_118_2,5.688071250915528,Generated
A0A948EPL6_119_2,6.018817329406737,Generated
A0A1G0AW29_120_2,5.295143318176269,Generated
A0A1G0AW29_121_2,5.457304954528809,Generated
A0A075IPN0_122_2,5.39569149017334,Generated
A0A075IPN0_123_2,5.583146476745605,Generated
UPI00056DDB62_124_2,4.9517221450805655,Generated
A0A1G0AW29_125_2,5.6456693649292,Generated
A0A1G0AW29_126_2,5.600255012512206,Generated
A0A1G0AW29_127_2,6.248731040954591,Generated
D9SHP6_128_2,5.579736137390136,Generated
A0A661E1C3_129_2,5.674202537536622,Generated
A0A948EPL6_130_2,5.90468463897705,Generated
A0A2K8L348_131_2,5.02203197479248,Generated
A0A1G0AW29_132_2,5.790438270568848,Generated
A0A075IPP2_133_2,5.642031669616699,Generated
A0A075IPP2_134_2,4.907728767395019,Generated
A0A075IPP2_135_2,5.784527015686035,Generated
A0A075IPP2_136_2,5.472480964660644,Generated
A0A075IPP2_137_2,4.953029441833496,Generated
A0A075IPP2_138_2,5.1283777236938475,Generated
