ID,Hydrophobicity,Type
A0A3B0XHN3_0_1,-0.1723970944309929,Generated
A0A1G0AW29_1_1,-0.3002127659574475,Generated
A0A1G0AW29_2_1,-0.4065957446808511,Generated
A0A1G0AW29_3_1,-0.4046808510638296,Generated
Q59462_4_1,-0.269546436285098,Generated
Q59462_5_1,-0.385745140388769,Generated
U3U4M7_6_1,-0.271428571428572,Generated
A0A1G0AW29_7_1,-0.40234042553191496,Generated
A0A1G0AW29_8_1,-0.2691489361702133,Generated
A0A1G0AW29_9_1,-0.2719148936170218,Generated
A0A1G0AW29_10_1,-0.36212765957446824,Generated
A0A1G0AW29_11_1,-0.4012765957446807,Generated
A0A1G0AW29_12_1,-0.3065957446808519,Generated
A0A1G0AW29_13_1,-0.31744680851063883,Generated
A0A1G0AW29_14_1,-0.22489361702127733,Generated
Q8RTI1_15_1,-0.23606911447084272,Generated
A0A7C9QRF1_16_1,-0.2868921775898526,Generated
F2ZCD4_17_1,-0.18564231738035275,Generated
A0A1G0AW29_18_1,-0.3600000000000003,Generated
A0A3B0XHN3_19_1,-0.17651331719128352,Generated
A0A3B0XHN3_20_1,-0.20653753026634436,Generated
A0A3B0XHN3_21_1,-0.16489104116222816,Generated
A0A7V8AB38_22_1,-0.2451193058568335,Generated
A0A7V8AB38_23_1,-0.29587852494577044,Generated
A0A7C5IYL6_24_1,-0.18671497584541108,Generated
A0A1W6AQ46_25_1,-0.095214105793451,Generated
A0A3B0XHN3_26_1,-0.1360774818401939,Generated
A0A7V8AB38_27_1,-0.20238611713665974,Generated
A0A1G0AW29_28_1,-0.27000000000000063,Generated
A0A3N1XWA5_29_1,-0.2714592274678116,Generated
A0A1G0AW29_30_1,-0.30510638297872406,Generated
A0A2K8KYS9_31_1,-0.2957537154989392,Generated
A0A2K8KYS9_32_1,-0.3307855626326967,Generated
A0A3N1XWA5_33_1,-0.24656652360515066,Generated
A0A1G0AW29_34_1,-0.37063829787234054,Generated
A0A075IPP2_35_1,-0.14736842105263204,Generated
A0A3N1XWA5_36_1,-0.2957081545064384,Generated
A0A1G0AW29_37_1,-0.26085106382978795,Generated
A0A1G0AW29_38_1,-0.29829787234042604,Generated
A0A1G0AW29_39_1,-0.35680851063829816,Generated
A0A1G0AW29_40_1,-0.43808510638297854,Generated
A0A1G0AW29_41_1,-0.27531914893617065,Generated
A0A3N1XWA5_42_1,-0.32339055793991445,Generated
A0A3N1XWA5_43_1,-0.2240343347639488,Generated
A0A075IPR4_44_1,-0.26473551637279663,Generated
A0A1G0AW29_45_1,-0.24765957446808576,Generated
A0A1G0AW29_46_1,-0.33106382978723464,Generated
I4DDJ6_47_2,-0.22882205513784482,Generated
A0A3M2BFW8_48_2,-0.32777777777777783,Generated
A0A933USX4_49_2,-0.14184549356223214,Generated
Q31IK3_50_2,-0.2812095032397414,Generated
A0A948EPL6_51_2,-0.22203389830508527,Generated
A0A948EPL6_52_2,-0.14963680387409248,Generated
A0A948EPL6_53_2,-0.22324455205811194,Generated
A0A3E1R697_54_2,-0.2475161987041044,Generated
A0A0T5Z1X2_55_2,-0.2608602150537637,Generated
A0A661FXI3_56_2,-0.2827586206896555,Generated
A0A962DV06_57_2,-0.2697624190064799,Generated
A0A2A4WCC7_58_2,-0.25000000000000067,Generated
UPI000570971D_59_2,-0.31295896328293793,Generated
A0A3B0XHN3_60_2,-0.2384987893462475,Generated
A0A3B0XHN3_61_2,-0.13535108958837785,Generated
A0A3B0XHN3_62_2,-0.23510895883777297,Generated
A0A3M2BFW8_63_2,-0.3264957264957269,Generated
A0A7C6EZB3_64_2,-0.2592672413793109,Generated
A0A948EPL6_65_2,-0.24697336561743397,Generated
A0A948EPL6_66_2,-0.25569007263922566,Generated
A0A7X7ZGQ9_67_2,-0.1835853131749463,Generated
UPI0005EB8F6C_68_2,-0.3212446351931336,Generated
Q21YM9_69_2,-0.21468682505399628,Generated
A0A7V7WQB9_70_2,-0.1926565874730024,Generated
A0A948EPL6_71_2,-0.10677966101694938,Generated
A0A2K8L348_72_2,-0.36297872340425574,Generated
V6EXN2_73_2,-0.14242424242424248,Generated
V6EXN2_74_2,-0.2701298701298706,Generated
I4DDN7_75_2,-0.24648241206030197,Generated
A0A948EPL6_76_2,-0.1629539951573856,Generated
I4DDN7_77_2,-0.18542713567839234,Generated
I4DDN7_78_2,-0.2896984924623121,Generated
I4DDN7_79_2,-0.20577889447236214,Generated
A0A948EPL6_80_2,-0.18159806295399536,Generated
I4DDN7_81_2,-0.1909547738693472,Generated
A0A948EPL6_82_2,-0.12469733656174355,Generated
I4DDN7_83_2,-0.009547738693467422,Generated
A0A1G0AW29_84_2,-0.3485106382978726,Generated
A0A948EPL6_85_2,-0.27118644067796677,Generated
A0A3M1HUI7_86_2,-0.2294243070362479,Generated
A0A1G0AW29_87_2,-0.357021276595745,Generated
A0A1G0AW29_88_2,-0.28978723404255397,Generated
A0A1G0AW29_89_2,-0.39170212765957474,Generated
A0A1G0AW29_90_2,-0.40829787234042525,Generated
A0A075IPP2_91_2,-0.17468671679198025,Generated
A0A075IPP2_92_2,-0.09373433583959899,Generated
A0A075IPP2_93_2,-0.1461152882205518,Generated
A0A075IPP2_94_2,-0.17368421052631647,Generated
A0A075IPP2_95_2,-0.16766917293233127,Generated
A0A075IPP2_96_2,-0.10601503759398517,Generated
D9SHP6_97_2,-0.3182978723404261,Generated
D9SHP6_98_2,-0.26468085106383027,Generated
D9SHP6_99_2,-0.34574468085106413,Generated
A0A0G4EI01_100_2,-0.3003407155025558,Generated
A0A1G0AW29_101_2,-0.3212765957446815,Generated
A0A1G0AW29_102_2,-0.35127659574468095,Generated
A0A1G0AW29_103_2,-0.3440425531914899,Generated
D9SHP6_104_2,-0.29553191489361763,Generated
D9SHP6_105_2,-0.3340425531914898,Generated
A0A3B0XHN3_106_2,-0.1820823244552063,Generated
D9SHP6_107_2,-0.33617021276595777,Generated
A0A1G0AW29_108_2,-0.3772340425531916,Generated
A0A948EPL6_109_2,-0.20726392251816061,Generated
A0A3M2BFW8_110_2,-0.33696581196581205,Generated
A0A3M2BFW8_111_2,-0.2720085470085474,Generated
A0A075IVF1_112_2,-0.13224181360201512,Generated
UPI0021E97E19_113_2,-0.3330434782608703,Generated
A0A1G0AW29_114_2,-0.3368085106382981,Generated
A0A1G0AW29_115_2,-0.43085106382978733,Generated
A0A1G0AW29_116_2,-0.2742553191489366,Generated
A0A1G0AW29_117_2,-0.282978723404256,Generated
A0A1G0AW29_118_2,-0.3023404255319156,Generated
A0A948EPL6_119_2,-0.23365617433414088,Generated
A0A1G0AW29_120_2,-0.31170212765957517,Generated
A0A1G0AW29_121_2,-0.2938297872340431,Generated
A0A075IPN0_122_2,-0.14710327455919414,Generated
A0A075IPN0_123_2,-0.11889168765743087,Generated
UPI00056DDB62_124_2,-0.28479657387580354,Generated
A0A1G0AW29_125_2,-0.3761702127659576,Generated
A0A1G0AW29_126_2,-0.32765957446808536,Generated
A0A1G0AW29_127_2,-0.3463829787234045,Generated
D9SHP6_128_2,-0.29085106382978787,Generated
A0A661E1C3_129_2,-0.2241900647948165,Generated
A0A948EPL6_130_2,-0.14600484261501254,Generated
A0A2K8L348_131_2,-0.3846808510638301,Generated
A0A1G0AW29_132_2,-0.2810638297872349,Generated
A0A075IPP2_133_2,-0.20701754385964946,Generated
A0A075IPP2_134_2,-0.05764411027568924,Generated
A0A075IPP2_135_2,-0.24060150375939898,Generated
A0A075IPP2_136_2,-0.2045112781954891,Generated
A0A075IPP2_137_2,-0.1832080200501258,Generated
A0A075IPP2_138_2,-0.15313283208020084,Generated
A0A075IPP2_139_2,-0.1533834586466168,Generated
A0A075IPP2_140_2,-0.12205513784461158,Generated
A0A075IPP2_141_2,-0.13759398496240605,Generated
A0A075IPP2_142_2,-0.10000000000000009,Generated
A0A1G0AW29_143_2,-0.23659574468085165,Generated
A0A2K8L348_144_2,-0.23702127659574496,Generated
A0A1G0AW29_145_2,-0.3293617021276601,Generated
A0A1G0AW29_146_2,-0.4161702127659574,Generated
A0A1G0AW29_147_2,-0.33851063829787287,Generated
A0A1G0AW29_148_2,-0.34936170212765993,Generated
A0A075IPP2_149_2,-0.19974937343358462,Generated
A0A075IPP2_150_2,-0.17042606516290765,Generated
A0A1G0AW29_151_2,-0.3559574468085111,Generated
A0A1G0AW29_152_2,-0.30829787234042616,Generated
A0A075IPP2_153_2,-0.20551378446115331,Generated
A0A1G0AW29_154_2,-0.3355319148936176,Generated
A0A2K8L348_155_2,-0.27085106382978785,Generated
A0A075IPP2_156_2,-0.21679197994987515,Generated
A0A075IPP2_157_2,-0.07568922305764417,Generated
A0A075IPP2_158_2,-0.16516290726817068,Generated
A0A1G0AW29_159_2,-0.30617021276595807,Generated
A0A1G0AW29_160_2,-0.2400000000000007,Generated
A0A2K8L348_161_2,-0.28276595744680905,Generated
A0A1G0AW29_162_2,-0.39297872340425544,Generated
A0A1G0AW29_163_2,-0.34255319148936214,Generated
A0A2K8L348_164_2,-0.335957446808511,Generated
A0A075IPP2_165_2,-0.19949874686716826,Generated
A0A1G0AW29_166_2,-0.32574468085106445,Generated
A0A075IPP2_167_2,-0.1839598997493736,Generated
A0A1G0AW29_168_2,-0.22851063829787271,Generated
A0A1G0AW29_169_2,-0.4148936170212765,Generated
A0A1G0AW29_170_2,-0.3189361702127663,Generated
A0A1G0AW29_171_2,-0.27595744680851136,Generated
A0A1G0AW29_172_2,-0.31255319148936234,Generated
A0A075IPP2_173_3,-0.0872180451127818,Generated
A0A075IPP2_174_3,-0.24611528822055195,Generated
A0A3M2BFW8_175_3,-0.24722222222222284,Generated
A0A3M2BFW8_176_3,-0.2841880341880348,Generated
A0A3M2BFW8_177_3,-0.257264957264958,Generated
A0A2K8L348_178_3,-0.23957446808510705,Generated
A0A075IPP2_179_3,-0.07744360902255647,Generated
A0A075IPP2_180_3,-0.21729323308270723,Generated
A0A3M2BFW8_181_3,-0.26944444444444515,Generated
A0A2K8L348_182_3,-0.2772340425531919,Generated
A0A075IPP2_183_3,-0.20275689223057689,Generated
A0A1G0AW29_184_3,-0.33659574468085124,Generated
A0A075IPP2_185_3,-0.1240601503759398,Generated
A0A075IPP2_186_3,-0.16365914786967492,Generated
A0A3M2BFW8_187_3,-0.33333333333333337,Generated
A0A3M2BFW8_188_3,-0.16730769230769266,Generated
A0A3M2BFW8_189_3,-0.2463675213675219,Generated
A0A3M2BFW8_190_3,-0.32927350427350427,Generated
A0A1G0AW29_191_3,-0.27468085106383056,Generated
A0A1G0AW29_192_3,-0.3631914893617025,Generated
A0A1G0AW29_193_3,-0.43042553191489363,Generated
A0A1G0AW29_194_3,-0.3812765957446808,Generated
A0A1G0AW29_195_3,-0.31361702127659635,Generated
A0A1G0AW29_196_3,-0.33914893617021286,Generated
A0A832ANL8_197_3,-0.15649038461538514,Generated
A0A832ANL8_198_3,-0.1689903846153847,Generated
A0A832ANL8_199_3,-0.2014423076923079,Generated
F2ZCF1_200_3,-0.005050505050504996,Generated
F2ZCF1_201_3,-0.16616161616161637,Generated
A0A2M7EME9_202_3,-0.2849462365591404,Generated
A0A3S9PWU7_203_3,-0.2866090712742985,Generated
A0A1G0AW29_204_3,-0.26744680851063884,Generated
A0A1G0AW29_205_3,-0.3244680851063835,Generated
A0A1G0AW29_206_3,-0.32744680851063884,Generated
A0A075IPP2_207_3,-0.10150375939849628,Generated
A0A1G0AW29_208_3,-0.43170212765957455,Generated
A0A1G0AW29_209_3,-0.2851063829787241,Generated
A0A075IPP2_210_3,-0.08020050125313301,Generated
A0A075IPP2_211_3,-0.1669172932330829,Generated
A0A2K8L348_212_3,-0.3234042553191495,Generated
D9SHP6_213_3,-0.34404255319149,Generated
A0A1G0AW29_214_3,-0.37170212765957483,Generated
D9SHP6_215_3,-0.38340425531914907,Generated
D9SHP6_216_3,-0.3968085106382982,Generated
D9SHP6_217_3,-0.2978723404255325,Generated
A0A2K8L348_218_3,-0.26829787234042596,Generated
A0A075IPP2_219_3,-0.11378446115288225,Generated
A0A1G0AW29_220_3,-0.369148936170213,Generated
A0A1G0AW29_221_3,-0.309574468085107,Generated
A0A1G0AW29_222_3,-0.23297872340425585,Generated
A0A1G0AW29_223_3,-0.30936170212766023,Generated
A0A1G0AW29_224_3,-0.33276595744680876,Generated
A0A075IPP2_225_3,-0.20451127819548917,Generated
A0A075IPP2_226_3,-0.28270676691729385,Generated
A0A075IPP2_227_3,-0.14385964912280721,Generated
A0A075IPP2_228_3,-0.24636591478696812,Generated
A0A1G0AW29_229_3,-0.28361702127659644,Generated
A0A1G0AW29_230_3,-0.3731914893617025,Generated
A0A1G0AW29_231_3,-0.31851063829787296,Generated
A0A2K8L348_232_3,-0.2959574468085112,Generated
D9SHP6_233_3,-0.20361702127659628,Generated
D9SHP6_234_3,-0.2882978723404262,Generated
D9SHP6_235_3,-0.37914893617021306,Generated
D9SHP6_236_3,-0.31404255319148977,Generated
A0A075IPP2_237_3,-0.2431077694235595,Generated
A0A2K8L348_238_3,-0.33021276595744736,Generated
A0A2K8L348_239_3,-0.2706382978723409,Generated
A0A2K8L348_240_3,-0.3387234042553195,Generated
A0A1G0AW29_241_3,-0.31212765957446886,Generated
A0A1G0AW29_242_3,-0.30340425531914944,Generated
A0A1G0AW29_243_3,-0.3548936170212767,Generated
A0A1G0AW29_244_3,-0.31489361702127733,Generated
A0A1G0AW29_245_3,-0.3019148936170219,Generated
A0A1G0AW29_246_3,-0.34063829787234085,Generated
A0A1G0AW29_247_3,-0.31914893617021317,Generated
A0A1G0AW29_248_3,-0.3263829787234047,Generated
A0A1G0AW29_249_3,-0.3642553191489364,Generated
A0A075IPP2_250_3,-0.18671679197995056,Generated
D9SHP6_251_3,-0.2861702127659579,Generated
D9SHP6_252_3,-0.3319148936170218,Generated
A0A1G0AW29_253_3,-0.2553191489361707,Generated
A0A1G0AW29_254_3,-0.3212765957446812,Generated
A0A1G0AW29_255_3,-0.34255319148936225,Generated
A0A1G0AW29_256_3,-0.2540425531914902,Generated
A0A1G0AW29_257_3,-0.32489361702127695,Generated
A0A1G0AW29_258_3,-0.34851063829787293,Generated
A0A1G0AW29_259_3,-0.3102127659574473,Generated
A0A1G0AW29_260_3,-0.3219148936170217,Generated
A0A075IPP2_261_3,-0.15889724310776968,Generated
A0A075IPP2_262_3,-0.1473684210526318,Generated
A0A075IPP2_263_3,-0.258646616541354,Generated
A0A2K8L348_264_3,-0.22191489361702155,Generated
A0A075IPP2_265_3,-0.08370927318295739,Generated
A0A2K8L348_266_3,-0.28872340425531967,Generated
A0A075IPP2_267_3,-0.23734335839599055,Generated
A0A948EPL6_268_3,-0.22251815980629594,Generated
A0A948EPL6_269_3,-0.30000000000000066,Generated
A0A948EPL6_270_3,-0.22953995157385057,Generated
A0A832J6A2_271_3,-0.18154506437768245,Generated
A0A832J6A2_272_3,-0.21845493562231807,Generated
A0A948EPL6_273_3,-0.15617433414043583,Generated
A0A948EPL6_274_3,-0.32493946731234896,Generated
A0A948EPL6_275_3,-0.22615012106537585,Generated
A0A948EPL6_276_3,-0.2268765133171917,Generated
A0A832ANL8_277_3,-0.2149038461538468,Generated
A0A075IPP2_278_3,-0.11077694235588995,Generated
A0A075IPP2_279_3,-0.08345864661654133,Generated
A0A075IPP2_280_3,-0.025313283208019965,Generated
A0A832ANL8_281_3,-0.2884615384615391,Generated
A0A075IPP2_282_3,-0.14887218045112782,Generated
A0A075IPP2_283_3,-0.25087719298245664,Generated
D9SHP6_284_3,-0.1914893617021281,Generated
A0A1G0AW29_285_3,-0.25212765957446887,Generated
A0A075ISY8_286_3,-0.23375314861461008,Generated
A0A075ISY8_287_3,-0.20025188916876582,Generated
A0A075ISY8_288_3,-0.26448362720403057,Generated
A0A075ISY8_289_3,-0.16952141057934517,Generated
A0A075ISY8_290_3,-0.1813602015113351,Generated
A0A2U0AGL4_291_3,-0.11365740740740737,Generated
A0A657Q713_292_3,-0.29827213822894216,Generated
I4DDR7_293_3,-0.1379396984924626,Generated
A0A7Y2YWN0_294_3,-0.24892241379310392,Generated
A0A7Y0GYQ9_295_3,-0.18336933045356396,Generated
A0A075IPP2_296_3,-0.14862155388471224,Generated
A0A7Y0GYQ9_297_3,-0.1585313174946011,Generated
A0A832ANL8_298_3,-0.20288461538461583,Generated
I4DDM4_299_3,-0.09698492462311555,Generated
A0A7Y0GYQ9_300_3,-0.22829373650108056,Generated
A0A7Y0GYQ9_301_3,-0.1526997840172788,Generated
A0A7Y0GYQ9_302_3,-0.17321814254859658,Generated
A0A7Y0GYQ9_303_3,-0.15982721382289464,Generated
A0A369CGS8_304_3,-0.14353448275862116,Generated
A0A1N7LI14_305_3,-0.2746753246753252,Generated
A0A0D6B0K4_306_3,-0.19184549356223193,Generated
A0A0P9C7E3_307_3,-0.35438972162740906,Generated
A0A948EPL6_308_3,-0.24285714285714355,Generated
A0A948EPL6_309_3,-0.17288135593220397,Generated
A0A948EPL6_310_3,-0.2852300242130757,Generated
A0A948EPL6_311_3,-0.23559322033898364,Generated
A0A948EPL6_312_3,-0.2278450363196134,Generated
UPI0003F8EEA2_313_3,-0.2507592190889376,Generated
A0A832ANL8_314_3,-0.12980769230769285,Generated
A0A2K8L348_315_3,-0.3540425531914898,Generated
D9SHP6_316_3,-0.36851063829787256,Generated
A0A1G0AW29_317_3,-0.29468085106383035,Generated
A0A1G0AW29_318_3,-0.31042553191489414,Generated
A0A1G0AW29_319_3,-0.36297872340425547,Generated
A0A1G0AW29_320_3,-0.3002127659574475,Generated
A0A075IPP2_321_3,-0.18320802005012574,Generated
A0A075IPP2_322_3,-0.1807017543859651,Generated
A0A075IPP2_323_3,-0.06390977443609033,Generated
A0A075IPP2_324_3,-0.12857142857142864,Generated
I4DDM4_325_3,-0.11055276381909558,Generated
I4DDM4_326_3,-0.16783919597989966,Generated
I4DDM4_327_3,-0.20201005025125654,Generated
A0A832ANL8_328_3,-0.1725961538461546,Generated
A0A075IPP2_329_3,-0.18972431077694296,Generated
A0A7Y0GYQ9_330_3,-0.22656587473002224,Generated
A0A075IPP2_331_3,-0.24536340852130398,Generated
A0A1G0AW29_332_3,-0.2812765957446814,Generated
A0A1G0AW29_333_3,-0.2097872340425538,Generated
A0A1G0AW29_334_3,-0.38702127659574487,Generated
A0A1G0AW29_335_3,-0.2768085106382986,Generated
A0A1G0AW29_336_3,-0.2625531914893624,Generated
A0A1G0AW29_337_3,-0.330638297872341,Generated
A0A075IPP2_338_3,-0.13884711779448644,Generated
A0A075IPP2_339_3,-0.14310776942355935,Generated
A0A3M2BFW8_340_3,-0.2846153846153852,Generated
A0A3M2BFW8_341_3,-0.31388888888888933,Generated
A0A3M2BFW8_342_3,-0.363034188034188,Generated
A0A3M2BFW8_343_3,-0.3651709401709403,Generated
A0A832ANL8_344_3,-0.11971153846153872,Generated
A0A948EPL6_345_3,-0.28547215496368106,Generated
A0A832J6A2_346_3,-0.18240343347639512,Generated
A0A3D0LV50_347_3,-0.22375809935205213,Generated
A0A075IRW9_348_3,-0.12468513853904284,Generated
A0A953VJD8_349_3,-0.34506437768240356,Generated
A0A1G0AW29_350_3,-0.2957446808510645,Generated
F2ZCE9_351_3,-0.06444444444444446,Generated
A0A1G3IDC6_352_3,-0.2493506493506501,Generated
A0A661DL27_353_3,-0.2768348623853216,Generated
A0A1G0AW29_354_3,-0.2968085106382985,Generated
A0A948EPL6_355_3,-0.23196125907990375,Generated
A0A948EPL6_356_3,-0.19588377723971004,Generated
A0A948EPL6_357_3,-0.1956416464891049,Generated
A0A948EPL6_358_3,-0.13995157384987922,Generated
A0A075IPP2_359_3,-0.2363408521303266,Generated
A0A832J6A2_360_3,-0.2521459227467817,Generated
